UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Ⓑⓔⓔ백현`◕‿◕,@GongjunimB,2021-09-10T23:59:59.000Z,"Ⓑⓔⓔ백현`◕‿◕
@GongjunimB
·
Sep 10","Replying to 
@kallandrakiev
Iya kan mending gw bacotin akun2 sampah aja dah ah daripada balesin customer tapi gaada gaji ahahaaa kesel bat jadi reseller gaada hasil.
1",,1,,,[],https://twitter.com/GongjunimB/status/1436479599437746177
WGLRPW,@WGLRPW,2021-09-10T23:59:57.000Z,"WGLRPW
@WGLRPW
·
Sep 10",Welcome to WGLRPW Word ^^ #WGL #WGF #Menfess #LelangACC #Games Ready #KPopKuisRP ready on Saturday berhadiah pulsa ^^,,,,,[],https://twitter.com/WGLRPW/status/1436479589274976258
《VACCINATED》Hanbin KIM (201系),@loveaselin,2021-09-10T23:59:57.000Z,"《VACCINATED》Hanbin KIM (201系)
@loveaselin
·
Sep 10","버튜버에 대해 잘 모르니까 이런 소리를 하는 모양인데, 버튜버는 정말 특별한 경우가 아니면 스튜디오가 아닌 집에서 방송을 진행함.

말 같잖은 이유로 방송국을 다닌 것이 아니라, 개인방송도 못 할 컨디션인데 공중파 방송은 가족들도 보니까 아픈 걸 숨기려고 어찌저찌 녹화에 참여했던 것.
체념
@prettydike100
 · Sep 9
그와중에 확진됬는데.. 
말같지도 않은 이유로. 방송국 ㅋㅋ스케쥴 다닌건 정말..
우리나라였으면 감옥행임 twitter.com/summerlight00/…
1
141
37",💉 ⚡ 🐔 🐬 👾,1,141,37,['https://pbs.twimg.com/profile_images/1422723514675597312/kTkO6GJE_mini.jpg'],https://twitter.com/loveaselin/status/1436479589174239233
김성주,@sadon411,2021-09-10T23:59:56.000Z,"김성주
@sadon411
·
Sep 10","[다음카페] ＜야만의 역사부터 끝내는 게 MZ정책입니다＞- 이재명 지사 페이스북에서...
＜야만의 역사부터 끝내는 게 MZ정책입니다＞- 이재명 지사 페이스북에서...
야만의 역사부터 끝내는 게 MZ정책입니다일정 마치고 단숨에 여섯 편 마쳤습니다. 많은 분들이 추천해주신 드라마 'DP'입니다.아시다시피 저는 산재로 군에 가지 못했습니다. 하지만 수십 년 전 공장에서 매일같이 겪었던 일과 다르지 않습니다. 차이가 있다면 저의 경험은 40년 전이고 드라마는 불과 몇 년 전을 배경으로 하고 있다
m.cafe.daum.net",,,,,['https://pbs.twimg.com/card_img/1436479567506464830/To-rjt3C?format=jpg&name=360x360'],https://twitter.com/sadon411/status/1436479584384344066
GELATO빌루크마마,@Pomefiore_PTA,2021-09-10T23:59:54.000Z,"GELATO빌루크마마
@Pomefiore_PTA
·
Sep 10","Replying to 
@Riri_san__74
ㅎ.... 피가 나는 것 같긴 한데 지하철이라 확인을 할 수는 없고.... 사무실 가서 봐야죠...
1",🏹 👑,1,,,[],https://twitter.com/Pomefiore_PTA/status/1436479577228939265
lu,@99YE0NJ,2021-09-10T23:59:54.000Z,"lu
@99YE0NJ
·
Sep 10","hagan stream si no peleamos, onda ya va a ser el cumple de yeonjun y creo q seria un lindo regalo",,,,,[],https://twitter.com/99YE0NJ/status/1436479577065340929
Jinwook Jung,@JJsanctum,2021-09-10T23:59:38.000Z,"Jinwook Jung
@JJsanctum
·
Sep 10","September 11, 2021 at 08:59AM, 1 USD 는 현재 1171.01 KRW 입니다. #환율",,,,,[],https://twitter.com/JJsanctum/status/1436479509050626048
((4넬 N°4)),@kateyoonn,2021-09-10T23:59:37.000Z,"((4넬 N°4))
@kateyoonn
·
Sep 10","Replying to 
@skynine7038
 @EniJikimi
 and 
@imuamen
경기지사가 최고인 인간과 빗대냐.
느그 지사는 저런거 할 그릇도 못된다.
2",,,,2,[],https://twitter.com/kateyoonn/status/1436479507230179329
Ha_Joy ll 𝓔𝓶𝓹𝓪𝓽𝓱𝔂,@bak_nannaa,2021-09-10T23:59:37.000Z,"Ha_Joy ll 𝓔𝓶𝓹𝓪𝓽𝓱𝔂
@bak_nannaa
·
Sep 10","Replying to 
@sweetlightme
Kecoa apa monyet anjing
1",🌹,1,,,[],https://twitter.com/bak_nannaa/status/1436479506106109952
jenonyomnyom,@angcaat_,2021-09-10T23:59:37.000Z,"jenonyomnyom
@angcaat_
·
Sep 10","Replying to 
@JAJANCITYbase
Set 350k, pc only offer by dm",,,,,['https://pbs.twimg.com/media/E-9mfwGUUAMsugh?format=jpg&name=900x900'],https://twitter.com/angcaat_/status/1436479505254604800
caa,@jongincaa,2021-09-10T23:59:36.000Z,"caa
@jongincaa
·
Sep 10","Replying to 
@hiyaaaaatt
Done♡
1",🐻,,,1,[],https://twitter.com/jongincaa/status/1436479502704644147
𝘿𝙖𝙣,@kryjelaaaa,2021-09-10T23:59:36.000Z,"𝘿𝙖𝙣
@kryjelaaaa
·
Sep 10",keep manifesting bb ,🤞,,,,[],https://twitter.com/kryjelaaaa/status/1436479502645743617
Mackieee,@macborjaclaro,2021-09-10T23:59:36.000Z,"Mackieee
@macborjaclaro
·
Sep 10","Goodmorning mga lodiii
1",,,,1,[],https://twitter.com/macborjaclaro/status/1436479502251540489
모닝,@nyj130613,2021-09-10T23:59:36.000Z,"모닝
@nyj130613
·
Sep 10","Replying to 
@MyBestGroupBTS
 and 
@BTS_twt
앗 너무 귀여워요  예전 드라마에는 
항상 주방식탁에 저거있었는데요
1
1",😍,1,,1,[],https://twitter.com/nyj130613/status/1436479500611555332
olive_tree,@LjesQuote,2021-09-10T23:59:34.000Z,"olive_tree
@LjesQuote
·
Sep 10","""Blessed is the king who comes in the name of the Lord!"" ""Peace in heaven and glory in the highest!""Luke 19:38",,,,,[],https://twitter.com/LjesQuote/status/1436479493342838786
Fowl Soup Spirit,@chickensoupbot,2021-09-10T23:59:34.000Z,"Fowl Soup Spirit
@chickensoupbot
·
Sep 10",Chicken Soup for the Picardy Spaniel Soul,,,,,[],https://twitter.com/chickensoupbot/status/1436479492394995713
askdr2,@askdr2,2021-09-10T23:59:32.000Z,"askdr2
@askdr2
·
Sep 10","[송당리에서] 렌터카 사고로 패가망신한 사람들 < 칼럼 < 기사본문 - 아이엠피터뉴스
[송당리에서] 렌터카 사고로 패가망신한 사람들 - 아이엠피터뉴스
며칠 전 아내와 딸이 탄 버스가 사고가 났다. 크게 다치지는 않았지만, 딸이 보내준 사진을 보고 안타까운 마음이 들었다. 사고로 뒷부분이 많이 파손된 승용차가 렌터카였기 때문이다. 버스와 렌터카 중 누가 잘...
impeternews.com",,,,,['https://pbs.twimg.com/card_img/1436561279884222466/rYn3n22c?format=jpg&name=240x240'],https://twitter.com/askdr2/status/1436479487265280001
태태 — H.,@viteamin95,2021-09-10T23:59:19.000Z,"태태 — H.
@viteamin95
·
Sep 10","Will take some hiatus, I guess. //
2",🐯,,,2,[],https://twitter.com/viteamin95/status/1436479431162228736
chim4u BUTTER,@orrn21,2021-09-10T23:59:18.000Z,"chim4u BUTTER
@orrn21
·
Sep 10","Replying to 
@BTS_twt
울 지민이 오늘도 행복해
나도 여전히 앞으로도 항상 사랑해~",🧈 🥰 🥰 💜,,,,['https://pbs.twimg.com/media/E-9mbGeUUAEEH_n?format=jpg&name=900x900'],https://twitter.com/orrn21/status/1436479428406566912
Fefe,@fernandaafe_,2021-09-10T23:59:17.000Z,"Fefe
@fernandaafe_
·
Sep 10",Tem coisa que me estressa mas eu fico calada,,,,,[],https://twitter.com/fernandaafe_/status/1436479424543744000
말캉이,@9qpSwtlTfSRBZy1,2021-09-10T23:59:17.000Z,"말캉이
@9qpSwtlTfSRBZy1
·
Sep 10","Replying to 
@_o51__
난 물안빼서 탱탱해 ㅠ.ㅠ 미침",,,,,[],https://twitter.com/9qpSwtlTfSRBZy1/status/1436479424505921536
(SLOW)172,@Winter010o1,2021-09-10T23:59:15.000Z,"(SLOW)172
@Winter010o1
·
Sep 10","Replying to 
@ilovebangto
응 ㅎㅎ
1",,1,,,[],https://twitter.com/Winter010o1/status/1436479412921270277
caa,@jongincaa,2021-09-10T23:59:13.000Z,"caa
@jongincaa
·
Sep 10","Replying to 
@aliorli_
Done♡",🐻,,,,[],https://twitter.com/jongincaa/status/1436479405828808704
pirolittle gay thing,@odolbi,2021-09-10T23:59:11.000Z,"pirolittle gay thing
@odolbi
·
Sep 10","trying to get some hardware for your graphic desinger friend for their birthday but realizing that its expensive as hale
1",🫖,,,1,[],https://twitter.com/odolbi/status/1436479398950043653
Mackieee,@macborjaclaro,2021-09-10T23:59:09.000Z,"Mackieee
@macborjaclaro
·
Sep 10","2nd dose kona pala ngayon
1",,,,1,[],https://twitter.com/macborjaclaro/status/1436479391060545538
Ha_Joy ll 𝓔𝓶𝓹𝓪𝓽𝓱𝔂,@bak_nannaa,2021-09-10T23:59:09.000Z,"Ha_Joy ll 𝓔𝓶𝓹𝓪𝓽𝓱𝔂
@bak_nannaa
·
Sep 10","Replying to 
@onyeollie
Na 
1",🌹 🙂,1,,,[],https://twitter.com/bak_nannaa/status/1436479390053847040
김쩨얄루,@go_nuest0315,2021-09-10T23:59:08.000Z,"김쩨얄루
@go_nuest0315
·
Sep 10","Replying to 
@nuest_hen0315
우왕",❤,,,,[],https://twitter.com/go_nuest0315/status/1436479384693592073
dilaaa|kinda,@rakirikiruku,2021-09-10T23:59:05.000Z,"dilaaa|kinda
@rakirikiruku
·
Sep 10","Disini gua, uda ada kek "" ni bocah keknya bakal HnR nih"" trs dia kan ngelist posterr, tapi untungnya anak GO ku ada yg mau ngambil opslotan poster punya dia
1
2
11",,1,2,11,"['https://pbs.twimg.com/media/E-9mWSzVkAEilDF?format=jpg&name=small', 'https://pbs.twimg.com/media/E-9mXRYVEAIRXs-?format=jpg&name=small', 'https://pbs.twimg.com/media/E-9mWzNUcAAdebD?format=jpg&name=small', 'https://pbs.twimg.com/media/E-9mXteVEAAD2ls?format=jpg&name=small']",https://twitter.com/rakirikiruku/status/1436479372748210176
イアン オラパ,@Orapix1Word,2021-09-10T23:59:03.000Z,"イアン オラパ
@Orapix1Word
·
Sep 10",#PenthouseS3Ep14,,,,,['https://pbs.twimg.com/media/E-9mV-_UcAYIMUG?format=jpg&name=small'],https://twitter.com/Orapix1Word/status/1436479362707062785
Ⓑⓔⓔ백현`◕‿◕,@GongjunimB,2021-09-10T23:58:50.000Z,"Ⓑⓔⓔ백현`◕‿◕
@GongjunimB
·
Sep 10","Replying to 
@baekhyuniefirst
Stress bgt lah. Capek gw format orderan sama bls chat malem2. Ampe gabisa hype tuiter dengan mudah. 
1",😩,1,,,[],https://twitter.com/GongjunimB/status/1436479308986339330
Ha_Joy ll 𝓔𝓶𝓹𝓪𝓽𝓱𝔂,@bak_nannaa,2021-09-10T23:58:48.000Z,"Ha_Joy ll 𝓔𝓶𝓹𝓪𝓽𝓱𝔂
@bak_nannaa
·
Sep 10","Replying to 
@eusteticbyun
Pagiii
1",🌹,1,,,[],https://twitter.com/bak_nannaa/status/1436479301768024066
erin louisse montefalco,@uhjthr,2021-09-10T23:58:47.000Z,"erin louisse montefalco
@uhjthr
·
Sep 10","Replying to 
@BTS_twt
Hi my looooove ",🧁 😍 👋,,,,[],https://twitter.com/uhjthr/status/1436479295661101056
Charlene 샤린 | moonlightGO0126 | 문빈 생각중,@moonlightGO0126,2021-09-10T23:58:47.000Z,"Charlene 샤린 | moonlightGO0126 | 문빈 생각중
@moonlightGO0126
·
Sep 10","[#moonlightGOproofs] just dropped off some packages at the post office
Please look in your email inbox for tracking numbers in 1-2 hours
1
8",🐈,,1,8,[],https://twitter.com/moonlightGO0126/status/1436479295157768197
[DE-ACT],@RPfx_SongQian,2021-09-10T23:58:43.000Z,"[DE-ACT]
@RPfx_SongQian
·
Sep 10","좋은 아침, 좋은 오후, 좋은 오후, 좋은 저녁 ㅋㅋㅋ~(='.'=)",,,,,[],https://twitter.com/RPfx_SongQian/status/1436479279814963200
Farfie,@farrrfarello,2021-09-10T23:58:41.000Z,"Farfie
@farrrfarello
·
Sep 10","Replying to 
@Flo_0601
Same thoughts here!!!
1",,1,,,[],https://twitter.com/farrrfarello/status/1436479270700961792
희희8ㅁ8,@bearcat7747,2021-09-10T23:58:41.000Z,"희희8ㅁ8
@bearcat7747
·
Sep 10","? 일어났는데 음 속이 다 뒤집어졌다 문제는 이유를 모르겠음...ㅠㅠㅠ
1",,,,1,[],https://twitter.com/bearcat7747/status/1436479270252019712
naye!,@naeiyeon,2021-09-10T23:58:39.000Z,"naye!
@naeiyeon
·
Sep 10",hai,,,,,[],https://twitter.com/naeiyeon/status/1436479264887492609
Dano,@MerchBit,2021-09-10T23:58:39.000Z,"Dano
@MerchBit
·
Sep 10",gm,💎,,,,[],https://twitter.com/MerchBit/status/1436479263952150528
