UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
AntiSocialMediaMan,@AntiSocialmedia,2007-08-06T23:55:57.000Z,"AntiSocialMediaMan
@AntiSocialmedia
·
Aug 6, 2007",Nobody knows you're a dog on CB Radio.,,,,,[],https://twitter.com/AntiSocialmedia/status/190709012
Michael Coté,@cote,2007-08-06T23:50:57.000Z,"Michael Coté
@cote
·
Aug 6, 2007","Back from dog walk. Kim eating dinner out with co-workers, so it's tacos for me.",,,,,[],https://twitter.com/cote/status/190700062
El Grande Tréponème,@RGlipglorp,2007-08-06T23:48:48.000Z,"El Grande Tréponème
@RGlipglorp
·
Aug 6, 2007",Drinking: Flying Dog Double Pale Ale. Listening: Voice of the Revolution #10. There is a lot to do...,,,,,[],https://twitter.com/RGlipglorp/status/190696552
Brandon Wang,@bradr,2007-08-06T23:35:17.000Z,"Brandon Wang
@bradr
·
Aug 6, 2007","My dog, Peanut, just peed outside. Seriously. He finally peed. Now I can let him go inside without worries!",,,,,[],https://twitter.com/bradr/status/190679092
Samuel Hagar,@docgood,2007-08-06T23:23:04.000Z,"Samuel Hagar
@docgood
·
Aug 6, 2007",Walking the dog,,,,,[],https://twitter.com/docgood/status/190663732
zigno,@zigno,2007-08-06T23:19:26.000Z,"zigno
@zigno
·
Aug 6, 2007",Dishes done. Dog walked. Some mindless puttying around the house then on to the homework assignment for the evening.,,,,,[],https://twitter.com/zigno/status/190659092
Lori B.,@loribindy,2007-08-06T23:15:08.000Z,"Lori B.
@loribindy
·
Aug 6, 2007","is eating a Big Mac, and getting puppy dawg eyes from the dog.  she's so deprived...",,,,,[],https://twitter.com/loribindy/status/190654192
Brandon Wang,@bradr,2007-08-06T23:14:16.000Z,"Brandon Wang
@bradr
·
Aug 6, 2007","After all this time, Peanut (my dog) still needs training. He bounds up the stairs even though he isn't allowed to do it! Just now! I mean..",,,,,[],https://twitter.com/bradr/status/190653182
Abe Vigoda,@abevigoda,2007-08-06T23:01:03.000Z,"Abe Vigoda
@abevigoda
·
Aug 6, 2007",Dogs love me because I'm alive...,,,,,[],https://twitter.com/abevigoda/status/190636102
martha,@grasshopperlibr,2007-08-06T22:59:39.000Z,"martha
@grasshopperlibr
·
Aug 6, 2007","met an adorable new puppy today. now, my dog keeps frisking me looking for the puppy.",,,,,[],https://twitter.com/grasshopperlibr/status/190633272
Doug,@jarhead,2007-08-06T22:57:32.000Z,"Doug
@jarhead
·
Aug 6, 2007",My kidos think the dogs have cornered a snake. On my way to check it out.,,,,,[],https://twitter.com/jarhead/status/190630912
Allen Weiner,@allenweiner,2007-08-06T22:50:58.000Z,"Allen Weiner
@allenweiner
·
Aug 6, 2007",Walking the dog.. again,,,,,[],https://twitter.com/allenweiner/status/190623762
Rachelskirts,@Rachelskirts,2007-08-06T22:46:47.000Z,"Rachelskirts
@Rachelskirts
·
Aug 6, 2007","Sweet awesome! Thunderstorm rollin' in. The dog is less than thrilled, but I think it's fantastic.",,,,,[],https://twitter.com/Rachelskirts/status/190618862
