UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
쳐돌이,@sibal_sexsex,2021-08-06T23:59:57.000Z,"쳐돌이
@sibal_sexsex
·
Aug 6","그냥가사나개짖는소리라도써주세요
#우리워너원_4주년에도_사랑해
알티마음10개안넘는거다눌러주세요
#FourYearsWithWannaOne
서로서로팔로우하고알티하자구요
10
10",,,10,10,[],https://twitter.com/sibal_sexsex/status/1423796014679412738
치세하전용제트에 불멸간 세준,@S2JUn_e,2021-08-06T23:59:53.000Z,"치세하전용제트에 불멸간 세준
@S2JUn_e
·
Aug 6","본계정 오늘부터 올려야지 ㅜ 배치 개망해서 3200 떴네 무난하게 3300 뜰줄 알았는데
1",,,,1,['https://pbs.twimg.com/media/E8JW3ErUcAIT0NJ?format=png&name=small'],https://twitter.com/S2JUn_e/status/1423795999747624960
출석체크머핀무새,@JUNwHYRANO,2021-08-06T23:59:51.000Z,"출석체크머핀무새
@JUNwHYRANO
·
Aug 6","ㅠㅠㅠㅠㅠ... 흑흑... 오늘 개덥겟죠... 잘다녀오세요ㅠㅠㅜㅜㅜ
1",🌌 🧁 🥧 🧁 🌌,,,1,[],https://twitter.com/JUNwHYRANO/status/1423795989786238976
엑쮸트라,@EX_jJyu,2021-08-06T23:59:50.000Z,"엑쮸트라
@EX_jJyu
·
Aug 6","관캐하니가 생각난다 현환뛰기 직전 관캐도 개마싯엇는데
1",👥,1,,,[],https://twitter.com/EX_jJyu/status/1423795987663839236
初音ミク(하츠네 미쿠),@KBot_VocaloMiku,2021-08-06T23:59:49.000Z,"初音ミク(하츠네 미쿠)
@KBot_VocaloMiku
·
Aug 6",여러분들에게 있어서 대파 死死死개 먹기란? #무리수,,,,,[],https://twitter.com/KBot_VocaloMiku/status/1423795982542675974
커미션 오픈 낙화,@Flowery_fall,2021-08-06T23:59:44.000Z,"커미션 오픈 낙화
@Flowery_fall
·
Aug 6",개귀여워ㅠㅠㅡㅠ,💖 🌸 🥀 🌸 💖,,,,[],https://twitter.com/Flowery_fall/status/1423795960111452160
독에,@DOK_eae,2021-08-06T23:59:23.000Z,"독에
@DOK_eae
·
Aug 6","1. 오늘 정말 재획하기! 코젬 3개이상 떠주면 좋게따...나 코강해야하눈데에....

2. 버닝서버에 있는 얘들 조금씩 키워주기.

3. 영어공부.......흐으ㅡㅁ......안할거...가트ㅡㄴ데......
.........나ㅏㄴ...날....ㅇ....ㅏㄴ....믿어.....
1",,,,1,[],https://twitter.com/DOK_eae/status/1423795873125859332
왕05x10왕,@wang_ong_wang,2021-08-06T23:59:23.000Z,"왕05x10왕
@wang_ong_wang
·
Aug 6","개피곤하네,,,,,하,,,,,카페인 절실하다",,,,,[],https://twitter.com/wang_ong_wang/status/1423795872706359298
바니(구 진피파니),@2JINJINLOVE04,2021-08-06T23:59:22.000Z,"바니(구 진피파니)
@2JINJINLOVE04
·
Aug 6","김석진 핫바디
김석진 갓바디
#SEOKJIN 
#방탄소년단진 
#진
#BTSJIN 
개달린다
#Epiphany100M 
GIF
1
4",🙏,,1,4,['https://pbs.twimg.com/tweet_video_thumb/E8JWwEqVoAEESVF.jpg'],https://twitter.com/2JINJINLOVE04/status/1423795869690695683
,@lizuya9989,2021-08-06T23:59:22.000Z,"@lizuya9989
·
Aug 6","그릴 만큼 그렸다(개쓰레기)
게임 한 판 하고 오면 이게 낫다는 걸 알 것 같음",💗,,,,[],https://twitter.com/lizuya9989/status/1423795866947571714
물품을 체작햐고 그런 것도 있지만 딱히 불쾌해하지는 않는다 오히려 굉장히 즐기는 편,,2021-08-06T23:59:19.000Z,"물품을 체작햐고 그런 것도 있지만 딱히 불쾌해하지는 않는다 오히려 굉장히 즐기는 편
·
Aug 6",개졸려누워누워,,,,,[],https://twitter.com/jbnjgmhndr/status/1423795857543991300
일류,@AIT1229,2021-08-06T23:59:18.000Z,"일류
@AIT1229
·
Aug 6","나멘탈나갈것갓애 도전과제 두개가 도저히 안 깨져 그래서 계속해서 스토리를 반복하고 몇번이고 그걸 보고있음
일류
@AIT1229
 · Aug 6
누락된 메세지는... 거의 출시되자마자 바로 했었는데 이걸 뒤늦게 발견했네 이걸 왜 지금봤냐...... 나 이거 하고 눈물 한바가지 쏟고 올게 도전과제 올클리어 #가보자고
1
5",☂ 🥝 ☂ 🥝,1,,5,"['https://pbs.twimg.com/profile_images/1423693618544484354/9HJXOgWH_mini.jpg', 'https://pbs.twimg.com/media/E8IazevUUAQor1t?format=jpg&name=small']",https://twitter.com/AIT1229/status/1423795853513302017
