UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
망치키치,@kim_ChzkiwiLych,2021-09-10T23:59:58.000Z,"망치키치
@kim_ChzkiwiLych
·
9월 11일","그리고 트위터하고 있으면 고양이가 등으로 올라와 주는 삶 심장에 너무 유해하고 좋아 죽겠음
3",🥭 🧀 🥝,,,3,['https://pbs.twimg.com/media/E-9mk8aWEAIoNHZ?format=jpg&name=900x900'],https://twitter.com/kim_ChzkiwiLych/status/1436479593578434574
전광판,@pandamoja,2021-09-10T23:59:30.000Z,"전광판
@pandamoja
·
9월 11일",이..이 모땐 고양이<<이말이 너무 귀여워서 자꾸 생각남,,,,,[],https://twitter.com/pandamoja/status/1436479478780219397
太理,@Leader_TAEYI,2021-09-10T23:59:26.000Z,"太理
@Leader_TAEYI
·
9월 11일",고양이 간식도 가득 주문하고 모래도 주문했다… 고정 수입이라는거 정말 중요하구나. 마음이 편해.,,,,,[],https://twitter.com/Leader_TAEYI/status/1436479462170791936
이마나,@FMTTM_0113,2021-09-10T23:58:23.000Z,"이마나
@FMTTM_0113
·
9월 11일","아니진짜 너무 웃기고 귀엽다 ㅋㅋㅋ 붕방 고양이랑 말리는 말티쥬 보통 반대 아니냐고
0:09
2.5만 조회수
자몽2
 님의",,,,,[],https://twitter.com/FMTTM_0113/status/1436479194867789826
음,@B_S_SL,2021-09-10T23:58:12.000Z,"음
@B_S_SL
·
9월 11일",고양이가 우리집 애 거 다 뺏어먹었어 ㅠㅠ,,,,,[],https://twitter.com/B_S_SL/status/1436479149401509889
우담,@UDAM_bara,2021-09-10T23:57:35.000Z,"우담
@UDAM_bara
·
9월 11일","학교 고양이~
10",,,,10,['https://pbs.twimg.com/media/E-9mBqHVIAEtkFZ?format=jpg&name=small'],https://twitter.com/UDAM_bara/status/1436478996846301185
보일러 챠벳,@K_Chabett,2021-09-10T23:57:16.000Z,"보일러 챠벳
@K_Chabett
·
9월 11일","뭐야 이 아기고양이
2",,,,2,['https://pbs.twimg.com/media/E-9l9jrVQAEf7mK?format=jpg&name=small'],https://twitter.com/K_Chabett/status/1436478916907048960
물비,@Dv613_,2021-09-10T23:56:15.000Z,"물비
@Dv613_
·
9월 11일","@Jjissophy_bt412
 님에게 보내는 답글
1. 장발
2. 안 뚫음
3. 안 썼다
4. 키 160
5. 쌍커플 무
6. 외동
7. E
8. 고양이상
9. 차가움
10. 무뚝뚝

여기 첫이미지로 했어요!! 몇점이에요?!?
1",🌝,1,,,[],https://twitter.com/Dv613_/status/1436478660073062400
루이,@lu_i_pan,2021-09-10T23:56:11.000Z,"루이
@lu_i_pan
·
9월 11일","@evve_sang
 님에게 보내는 답글
장발
뚫음
안 썼다
160
유
언니
E
고양이
차가움
무뚝뚝
1
1",🐨,1,,1,[],https://twitter.com/lu_i_pan/status/1436478641773318146
푸른바람,@blue_wind_11,2021-09-10T23:55:31.000Z,"푸른바람
@blue_wind_11
·
9월 11일","@cuddly_mozzi
 님에게 보내는 답글
고양이에게는 쓰담쓰담과.. 츄르를 줘야하는뎁...
1",,1,,,[],https://twitter.com/blue_wind_11/status/1436478472965148672
도사,@yeasneilly,2021-09-10T23:55:09.000Z,"도사
@yeasneilly
·
9월 11일","이 사랑둥이 고양이,,
1
2",,1,,2,[],https://twitter.com/yeasneilly/status/1436478380577157126
도사,@yeasneilly,2021-09-10T23:54:51.000Z,"도사
@yeasneilly
·
9월 11일","고양이가 내 다리 옆에서 잤는데 내가 잠결에 계속 고양이를 베개로 착각하고 허벅지를 위에 올려버렸음 ㄱ- 근데 고양이가 울지도 않고 힘들때까지 버티다가 결국 들썩하고 작게 움직여서 그제서야 내가 다리 치우는데 이걸 두번이나 반복했음,, 그래도 그자리에 가만히 누워잇어 어째서 ,,
6",🥲,,,6,[],https://twitter.com/yeasneilly/status/1436478308934303746
,@dotorimulmandu,2021-09-10T23:54:46.000Z,"@dotorimulmandu
·
9월 11일","@4ever_love7BTS
 님에게 보내는 답글
ㅋㅋㅋㅋㅋ 얘가 웃긴게 다른 고양이한태는 싸움 걸면서 사람들한태는 애기야 애기.. 언니 무릎에 앉아서 고롱고롱 가능하다 ㅎㅎ
1",🐿 🥟,1,,,[],https://twitter.com/dotorimulmandu/status/1436478287451197441
하푸,@ihatemonday1131,2021-09-10T23:54:25.000Z,"하푸
@ihatemonday1131
·
9월 11일",륍버랑 던전돌 때마다 귀여운 고양이 소리 나서 좋음 ^/////^,,,,,[],https://twitter.com/ihatemonday1131/status/1436478199488151553
제이콥 헨릭,@dbss100,2021-09-10T23:54:23.000Z,"제이콥 헨릭
@dbss100
·
9월 11일",.............아...고양이.....,,,,,[],https://twitter.com/dbss100/status/1436478187983147009
八愛,@your_maggot,2021-09-10T23:54:11.000Z,"八愛
@your_maggot
·
9월 11일",선생님 선생님(나갈래 하는 고양이st),,,,,[],https://twitter.com/your_maggot/status/1436478138104487938
야옹선생,@orders0612,2021-09-10T23:53:58.000Z,"야옹선생
@orders0612
·
9월 11일","식빵굽는 고양이
5",,,,5,['https://pbs.twimg.com/media/E-9lMrVVEAU_kHx?format=jpg&name=small'],https://twitter.com/orders0612/status/1436478083154857986
한정오,@HJO0104,2021-09-10T23:53:29.000Z,"한정오
@HJO0104
·
9월 11일",고양이 키우면 병아리는 같이 못 키우겠다,,,,,[],https://twitter.com/HJO0104/status/1436477961574645764
,@dotorimulmandu,2021-09-10T23:53:20.000Z,"@dotorimulmandu
·
9월 11일","@_cottoncandy_JK
 님에게 보내는 답글
개팔자가 상팔자라고 한 사람은 고양이를 못봤나봐",🐿 🥟,,,,[],https://twitter.com/dotorimulmandu/status/1436477924027338754
우 새/중 독,@oo__x_o_,2021-09-10T23:53:07.000Z,"우 새/중 독
@oo__x_o_
·
9월 11일","@yeast1237
 님에게 보내는 답글
우와 고양이 무ㅑ야??????? 넘기엽당 타투야? 그린건가??
1",🍷 🍷,1,,,[],https://twitter.com/oo__x_o_/status/1436477869044101120
리스,@oaodmd209,2021-09-10T23:53:00.000Z,"리스
@oaodmd209
·
9월 11일",로맨틱고양이..,😢,,,,[],https://twitter.com/oaodmd209/status/1436477841089064960
ⴵ퇴마Белова⧗,@Tastermask,2021-09-10T23:52:44.000Z,"ⴵ퇴마Белова⧗
@Tastermask
·
9월 11일","켙옐

새끼 고양이가 옐레나임",😏,,,,['https://pbs.twimg.com/media/E-9k7A-UUAAwl5N?format=jpg&name=900x900'],https://twitter.com/Tastermask/status/1436477773229428738
솜토끼라떼씨,@sugulnim,2021-09-10T23:52:44.000Z,"솜토끼라떼씨
@sugulnim
·
9월 11일","울 와기고양이....
똥투정 밥투정 잠투정 다해.....
그런데도 네가 골골송 부르면서 머리 부비면 어휴...하면서 녹아 나는.....
4",,,,4,[],https://twitter.com/sugulnim/status/1436477772680028166
