UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
돈없어시발,@Mr_maimai0331,2021-09-10T23:59:22.000Z,"돈없어시발
@Mr_maimai0331
·
9월 11일",1분만더…,,,,,[],https://twitter.com/Mr_maimai0331/status/1436479445292908545
단원,@dxn002,2021-09-10T23:58:53.000Z,"단원
@dxn002
·
9월 11일","@a_shining_lamp
 님에게 보내는 답글
대신 점심 무조건 빵식 ㅠ",,,,,[],https://twitter.com/dxn002/status/1436479320730451970
うみ,@castle_pum__,2021-09-10T23:58:40.000Z,"うみ
@castle_pum__
·
9월 11일","점심 마라탕으로 정했다
1",,1,,,[],https://twitter.com/castle_pum__/status/1436479267177590786
쑥ˏ₍⸜̠̇⸝̠̇₎ˎ ̀⁽⸌̠̇⸍̠̇⁾ ́,@w__underke_2e,2021-09-10T23:58:33.000Z,"쑥ˏ₍⸜̠̇⸝̠̇₎ˎ ̀⁽⸌̠̇⸍̠̇⁾ ́
@w__underke_2e
·
9월 11일","30분뒤에 집 가서.. 스트레칭이랑 운동 1시간 안에 끝내고 빨래 돌리고 보일러 켜고!!! 샤워하면 11시 화장실세제뿌리기>바닥청소>화장실청소하고 빨래 널고 점심(샐러드+당근+닭가슴살카레+복숭아) 먹고 바나나 잘라서 반찬통에 넣고 뒷정리하고 옷 갈아입고 나갈 준비
1
1",,1,,1,[],https://twitter.com/w__underke_2e/status/1436479237783887877
슬로민,@cyurocyuro,2021-09-10T23:58:13.000Z,"슬로민
@cyurocyuro
·
9월 11일","@SPXOD1863
 님에게 보내는 답글
회차님의 출근길을...저도 함께합니다...
오늘은 어제 못받은것의 두배는 더 행복한 하루가 되셨으면 해요 점심, 저녁도 더더 맛있는걸로 챙겨드시기",🌒 😂 😆 👍 🥰 😘 💕,,,,[],https://twitter.com/cyurocyuro/status/1436479154048798724
븅사,@qbdtk,2021-09-10T23:55:45.000Z,"븅사
@qbdtk
·
9월 11일","일어난 이유도 웃김 점심에 친구랑 맛있는거 먹기로 했는데 친구가 첫끼는 많이 못먹는다해서 친구 위장 워밍업을 위해 일어남
1",,,,1,[],https://twitter.com/qbdtk/status/1436478533526642688
색즉시공공즉시색,@RYUBANYA,2021-09-10T23:55:41.000Z,"색즉시공공즉시색
@RYUBANYA
·
9월 11일","아 맛있는거 먹고 싶다 어제 퇴근하고 기절잠 해버려서 저녁을 못 먹었으니 오늘 점심 맛있는거 먹고싶다..
1",💮,1,,,[],https://twitter.com/RYUBANYA/status/1436478517265383426
단지,@porchsideB,2021-09-10T23:55:28.000Z,"단지
@porchsideB
·
9월 11일",근데 너무 이른 아침이라 ㄱ-;; 조금 이따 점심 먹고 천천히 열겟습니다..,,,,,[],https://twitter.com/porchsideB/status/1436478464060583937
독곰팡,@Baby99____0901,2021-09-10T23:55:16.000Z,"독곰팡
@Baby99____0901
·
9월 11일","점심먹고 올게잉
1",,1,,,[],https://twitter.com/Baby99____0901/status/1436478413015969793
분이할머니,@grannyboonie,2021-09-10T23:54:54.000Z,"분이할머니
@grannyboonie
·
9월 11일","아놔 오늘 16년도에 한 번 밥먹고 서로 안만난 후배랑 갑자기 연락해서 점심먹기로 했는데…ㅋㅋㅋ 불길한 징조인가
보조 오하아사
@oneului_unse
 · 9월 11일
10.쌍둥이자리 (5/21~6/21)

심신이 피곤할 수 있습니다. 불필요한 약속을 만들지 말고 휴식을 취하는 것이 좋아요. 취미에 몰두하는 것도 좋은 방법입니다.

럭키 컬러:핑크색
행운의 열쇠:커튼

금전운 
연애운 
학업운 
건강운 
이 스레드 보기
1
6",👫 💸 💸 💘 💘 💘 📝 📝 📝 🏋 🏋,1,,6,['https://pbs.twimg.com/profile_images/1342959400902770688/jrB2Wi35_mini.jpg'],https://twitter.com/grannyboonie/status/1436478320598679555
세그민 ζ(ㆆ_ㆆζζ,@SegmentionFault,2021-09-10T23:54:23.000Z,"세그민 ζ(ㆆ_ㆆζζ
@SegmentionFault
·
9월 11일","원래부터 불면증이 있었는데 재택까지 하니까 너무 심해졌어

밤에 3~4시간쯤 자고 점심 시간에 한시간쯤 자고 저녁 잠도 자고",,,,,[],https://twitter.com/SegmentionFault/status/1436478187966324737
EUNBIN KIM,@EUNBINKIM0807,2021-09-10T23:53:48.000Z,"EUNBIN KIM
@EUNBINKIM0807
·
9월 11일","깔짝 운동하고 씻고 왔당 케이크를.. 떡볶이랑 점심에 같이 먹으려고 했는데 지금 먹으까... 좀만 참으까.. 위에 공복 시간 좀 주라 주~~
GIF",🙄,,,,['https://pbs.twimg.com/tweet_video_thumb/E-9lJeNVgAQ98rK.jpg'],https://twitter.com/EUNBINKIM0807/status/1436478042835021829
개굴왕,@frogfrogking,2021-09-10T23:53:47.000Z,"개굴왕
@frogfrogking
·
9월 11일",오늘 점심은 파리!,,,,,[],https://twitter.com/frogfrogking/status/1436478039731306497
"올뱌/OLiViA [디자인, 촬영, 누끼 커미션]",@csk198,2021-09-10T23:53:42.000Z,"올뱌/OLiViA [디자인, 촬영, 누끼 커미션]
@csk198
·
9월 11일","@ShinShu_2
 님에게 보내는 답글
후.. 오늘 점심도 국밥을 먹글가 생각중입니다.. 흐흫..
1",,,,1,[],https://twitter.com/csk198/status/1436478017270796290
웨로우니까 딮씨 반휴트,@Im_deepsea_,2021-09-10T23:53:27.000Z,"웨로우니까 딮씨 반휴트
@Im_deepsea_
·
9월 11일","@sweetosh412
 님에게 보내는 답글
그래도 오늘은 밥 좀 먹었어! 이따 점심까지 보고 배 괜찮으면 그때 다시 편의점 가서 샌드위치 사오려고ㅠ
1",,,,1,[],https://twitter.com/Im_deepsea_/status/1436477955685842949
